tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2018-08-02,Jakarta Timur,Pagi,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Barat,Pagi,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Selatan,Pagi,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Kepulauan Seribu,Pagi,Cerah, 45 – 90,22 – 33
2018-08-02,Jakarta Pusat,Pagi,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Utara,Pagi,Cerah, 45 – 90,22 – 33
2018-08-02,Jakarta Timur,Siang,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Barat,Siang,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Selatan,Siang,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Kepulauan Seribu,Siang,Cerah, 45 – 90,22 – 33
2018-08-02,Jakarta Pusat,Siang,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Utara,Siang,Cerah, 45 – 90,22 – 33
2018-08-02,Jakarta Timur,Malam,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Barat,Malam,Cerah, 45 – 90,22 – 33
2018-08-02,Jakarta Selatan,Malam,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Kepulauan Seribu,Malam,Cerah, 45 – 90,22 – 33
2018-08-02,Jakarta Pusat,Malam,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Utara,Malam,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Timur,Dini Hari,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Barat,Dini Hari,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Selatan,Dini Hari,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Kepulauan Seribu,Dini Hari,Cerah, 45 – 90,22 – 33
2018-08-02,Jakarta Pusat,Dini Hari,Cerah Berawan, 45 – 90,22 – 33
2018-08-02,Jakarta Utara,Dini Hari,Cerah Berawan, 45 – 90,22 – 33
2018-08-03,Jakarta Timur,Pagi,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Barat,Pagi,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Selatan,Pagi,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Kepulauan Seribu,Pagi,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Pusat,Pagi,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Utara,Pagi,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Timur,Siang,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Barat,Siang,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Selatan,Siang,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Kepulauan Seribu,Siang,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Pusat,Siang,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Utara,Siang,Cerah Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Timur,Malam,Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Barat,Malam,Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Selatan,Malam,Berawan, 40 – 95,22 – 33
2018-08-03,Kepulauan Seribu,Malam,Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Pusat,Malam,Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Utara,Malam,Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Timur,Dini Hari,Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Barat,Dini Hari,Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Selatan,Dini Hari,Berawan, 40 – 95,22 – 33
2018-08-03,Kepulauan Seribu,Dini Hari,Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Pusat,Dini Hari,Berawan, 40 – 95,22 – 33
2018-08-03,Jakarta Utara,Dini Hari,Berawan, 40 – 95,22 – 33
2018-08-04,Jakarta Timur,Pagi,Cerah Berawan, 45 – 80,22 – 33
2018-08-04,Jakarta Barat,Pagi,Cerah Berawan, 45 – 80,22 – 33
2018-08-04,Jakarta Selatan,Pagi,Cerah Berawan, 45 – 80,22 – 33
2018-08-04,Kepulauan Seribu,Pagi,Berawan, 45 – 80,22 – 33
2018-08-04,Jakarta Pusat,Pagi,Berawan, 45 – 80,22 – 33
2018-08-04,Jakarta Utara,Pagi,Berawan, 45 – 80,22 – 33
2018-08-04,Jakarta Timur,Siang,Cerah Berawan, 45 – 80,22 – 33
