tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2018-04-02,Jakarta Timur,pagi,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Barat,pagi,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Selatan,pagi,Cerah Berawan,65-95%,24-32°
2018-04-02,Kepulauan Seribu,pagi,Hujan Lokal,65-95%,24-32°
2018-04-02,Jakarta Pusat,pagi,Berawan,65-95%,24-32°
2018-04-02,Jakarta Utara,pagi,Berawan,65-95%,24-32°
2018-04-02,Jakarta Timur,siang,Hujan Ringan,65-95%,24-32°
2018-04-02,Jakarta Barat,siang,Hujan Ringan,65-95%,24-32°
2018-04-02,Jakarta Selatan,siang,Hujan Ringan,65-95%,24-32°
2018-04-02,Kepulauan Seribu,siang,Berawan,65-95%,24-32°
2018-04-02,Jakarta Pusat,siang,Hujan Lokal,65-95%,24-32°
2018-04-02,Jakarta Utara,siang,Hujan Lokal,65-95%,24-32°
2018-04-02,Jakarta Timur,malam,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Barat,malam,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Selatan,malam,Cerah Berawan,65-95%,24-32°
2018-04-02,Kepulauan Seribu,malam,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Pusat,malam,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Utara,malam,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Timur,dini hari,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Barat,dini hari,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Selatan,dini hari,Cerah Berawan,65-95%,24-32°
2018-04-02,Kepulauan Seribu,dini hari,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Pusat,dini hari,Cerah Berawan,65-95%,24-32°
2018-04-02,Jakarta Utara,dini hari,Cerah Berawan,65-95%,24-32°
2018-04-03,Jakarta Timur,pagi,Cerah,70-95%,23-33°
2018-04-03,Jakarta Barat,pagi,Cerah,70-95%,23-33°
2018-04-03,Jakarta Selatan,pagi,Cerah,70-95%,23-33°
2018-04-03,Kepulauan Seribu,pagi,Cerah Berawan,70-95%,23-33°
2018-04-03,Jakarta Pusat,pagi,Cerah Berawan,70-95%,23-33°
2018-04-03,Jakarta Utara,pagi,Cerah Berawan,70-95%,23-33°
2018-04-03,Jakarta Timur,siang,Hujan Petir,70-95%,23-33°
2018-04-03,Jakarta Barat,siang,Hujan Ringan,70-95%,23-33°
2018-04-03,Jakarta Selatan,siang,Hujan Petir,70-95%,23-33°
2018-04-03,Kepulauan Seribu,siang,Berawan,70-95%,23-33°
2018-04-03,Jakarta Pusat,siang,Hujan Ringan,70-95%,23-33°
2018-04-03,Jakarta Utara,siang,Hujan Ringan,70-95%,23-33°
2018-04-03,Jakarta Timur,malam,Berawan,70-95%,23-33°
2018-04-03,Jakarta Barat,malam,Cerah Berawan,70-95%,23-33°
2018-04-03,Jakarta Selatan,malam,Cerah Berawan,70-95%,23-33°
2018-04-03,Kepulauan Seribu,malam,Cerah Berawan,70-95%,23-33°
2018-04-03,Jakarta Pusat,malam,Cerah Berawan,70-95%,23-33°
2018-04-03,Jakarta Utara,malam,Berawan,70-95%,23-33°
2018-04-03,Jakarta Timur,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-03,Jakarta Barat,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-03,Jakarta Selatan,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-03,Kepulauan Seribu,dini hari,Hujan Lokal,70-95%,23-33°
2018-04-03,Jakarta Pusat,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-03,Jakarta Utara,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-04,Jakarta Timur,pagi,Berawan,70-95%,23-33°
2018-04-04,Jakarta Barat,pagi,Berawan ,70-95%,23-33°
2018-04-04,Jakarta Selatan,pagi,Berawan,70-95%,23-33°
2018-04-04,Kepulauan Seribu,pagi,Berawan,70-95%,23-33°
2018-04-04,Jakarta Pusat,pagi,Berawan,70-95%,23-33°
2018-04-04,Jakarta Utara,pagi,Berawan,70-95%,23-33°
2018-04-04,Jakarta Timur,siang,Hujan Sedang,70-95%,23-33°
2018-04-04,Jakarta Barat,siang,Hujan Lokal,70-95%,23-33°
2018-04-04,Jakarta Selatan,siang,Hujan Sedang,70-95%,23-33°
2018-04-04,Kepulauan Seribu,siang,Berawan,70-95%,23-33°
2018-04-04,Jakarta Pusat,siang,Hujan Lokal ,70-95%,23-33°
2018-04-04,Jakarta Utara,siang,Berawan,70-95%,23-33°
2018-04-04,Jakarta Timur,malam,Berawan,70-95%,23-33°
2018-04-04,Jakarta Barat,malam,Berawan,70-95%,23-33°
2018-04-04,Jakarta Selatan,malam,Berawan,70-95%,23-33°
2018-04-04,Kepulauan Seribu,malam,Cerah Berawan,70-95%,23-33°
2018-04-04,Jakarta Pusat,malam,Berawan,70-95%,23-33°
2018-04-04,Jakarta Utara,malam,Berawan,70-95%,23-33°
2018-04-04,Jakarta Timur,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-04,Jakarta Barat,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-04,Jakarta Selatan,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-04,Kepulauan Seribu,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-04,Jakarta Pusat,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-04,Jakarta Utara,dini hari,Cerah Berawan,70-95%,23-33°
2018-04-05,Jakarta Timur,pagi,Cerah Berawan,70-95%,24-33°
2018-04-05,Jakarta Barat,pagi,Cerah Berawan,70-95%,24-33°
2018-04-05,Jakarta Selatan,pagi,Cerah Berawan,70-95%,24-33°
2018-04-05,Kepulauan Seribu,pagi,Cerah Berawan,70-95%,24-33°
2018-04-05,Jakarta Pusat,pagi,Cerah Berawan,70-95%,24-33°
2018-04-05,Jakarta Utara,pagi,Cerah Berawan,70-95%,24-33°
2018-04-05,Jakarta Timur,siang,Hujan Lokal,70-95%,24-33°
2018-04-05,Jakarta Barat,siang,Berawan,70-95%,24-33°
2018-04-05,Jakarta Selatan,siang,Hujan Lokal,70-95%,24-33°
2018-04-05,Kepulauan Seribu,siang,Cerah Berawan,70-95%,24-33°
2018-04-05,Jakarta Pusat,siang,Berawan,70-95%,24-33°
2018-04-05,Jakarta Utara,siang,Berawan,70-95%,24-33°
2018-04-05,Jakarta Timur,malam,Hujan Sedang,70-95%,24-33°
2018-04-05,Jakarta Barat,malam,Hujan Lokal,70-95%,24-33°
2018-04-05,Jakarta Selatan,malam,Hujan Sedang,70-95%,24-33°
2018-04-05,Kepulauan Seribu,malam,Cerah Berawan,70-95%,24-33°
2018-04-05,Jakarta Pusat,malam,Hujan Lokal,70-95%,24-33°
2018-04-05,Jakarta Utara,malam,Hujan Lokal,70-95%,24-33°
2018-04-05,Jakarta Timur,dini hari,Hujan Lokal,70-95%,24-33°
2018-04-05,Jakarta Barat,dini hari,Hujan Lokal,70-95%,24-33°
2018-04-05,Jakarta Selatan,dini hari,Hujan Lokal,70-95%,24-33°
2018-04-05,Kepulauan Seribu,dini hari,Berawan,70-95%,24-33°
2018-04-05,Jakarta Pusat,dini hari,Hujan Lokal,70-95%,24-33°
2018-04-05,Jakarta Utara,dini hari,Berawan,70-95%,24-33°
2018-04-06,Jakarta Timur,pagi,Cerah Berawan,65-95%,23-29°
2018-04-06,Jakarta Barat,pagi,Cerah Berawan,65-95%,23-29°
2018-04-06,Jakarta Selatan,pagi,Cerah Berawan,65-95%,23-29°
2018-04-06,Kepulauan Seribu,pagi,Cerah Berawan,65-95%,23-29°
2018-04-06,Jakarta Pusat,pagi,Cerah Berawan,65-95%,23-29°
2018-04-06,Jakarta Utara,pagi,Cerah Berawan,65-95%,23-29°
2018-04-06,Jakarta Timur,siang,Hujan Petir,65-95%,23-29°
2018-04-06,Jakarta Barat,siang,Cerah Berawan,65-95%,23-29°
2018-04-06,Jakarta Selatan,siang,Hujan Ringan,65-95%,23-29°
2018-04-06,Kepulauan Seribu,siang,Cerah,65-95%,23-29°
2018-04-06,Jakarta Pusat,siang,Hujan Lokal,65-95%,23-29°
