tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2018-03-02,Jakarta Timur,pagi,Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Barat,pagi,Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Selatan,pagi,Berawan,70 – 100,23 – 32
2018-03-02,Kepulauan Seribu,pagi,Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Pusat,pagi,Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Utara,pagi,Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Timur,siang,Hujan Sedang,70 – 100,23 – 32
2018-03-02,Jakarta Barat,siang,Hujan Lokal,70 – 100,23 – 32
2018-03-02,Jakarta Selatan,siang,Hujan Sedang,70 – 100,23 – 32
2018-03-02,Kepulauan Seribu,siang,Cerah Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Pusat,siang,Hujan Lokal,70 – 100,23 – 32
2018-03-02,Jakarta Utara,siang,Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Timur,malam,Hujan Lokal,70 – 100,23 – 32
2018-03-02,Jakarta Barat,malam,Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Selatan,malam,Hujan Lokal,70 – 100,23 – 32
2018-03-02,Kepulauan Seribu,malam,Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Pusat,malam,Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Utara,malam,Berawan,70 – 100,23 – 32
2018-03-02,Jakarta Timur,dini hari,Hujan Lokal,70 – 100,23 – 32
2018-03-02,Jakarta Barat,dini hari,Hujan Lokal,70 – 100,23 – 32
2018-03-02,Jakarta Selatan,dini hari,Hujan Lokal,70 – 100,23 – 32
2018-03-02,Kepulauan Seribu,dini hari,Hujan Lokal,70 – 100,23 – 32
2018-03-02,Jakarta Pusat,dini hari,Hujan Lokal,70 – 100,23 – 32
2018-03-02,Jakarta Utara,dini hari,Hujan Lokal,70 – 100,23 – 32
2018-03-03,Jakarta Timur,pagi,Berawan,75 – 100 ,24 – 32
2018-03-03,Jakarta Barat,pagi,Berawan,75 – 100 ,24 – 32
