tanggal,wilayah,waktu,cuaca,kelembaban_persen,suhu_derajat_celcius
2018-11-02,Jakarta Timur,Pagi,Cerah Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Barat,Pagi,Cerah Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Selatan,Pagi,Cerah Berawan, 55 – 85,24 – 33
2018-11-02,Kepulauan Seribu,Pagi,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Pusat,Pagi,Cerah Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Utara,Pagi,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Timur,Siang,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Barat,Siang,Cerah Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Selatan,Siang,Cerah Berawan, 55 – 85,24 – 33
2018-11-02,Kepulauan Seribu,Siang,Cerah Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Pusat,Siang,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Utara,Siang,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Timur,Malam,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Barat,Malam,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Selatan,Malam,Berawan, 55 – 85,24 – 33
2018-11-02,Kepulauan Seribu,Malam,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Pusat,Malam,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Utara,Malam,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Timur,Dini Hari,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Barat,Dini Hari,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Selatan,Dini Hari,Berawan, 55 – 85,24 – 33
2018-11-02,Kepulauan Seribu,Dini Hari,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Pusat,Dini Hari,Berawan, 55 – 85,24 – 33
2018-11-02,Jakarta Utara,Dini Hari,Berawan, 55 – 85,24 – 33
2018-11-03,Jakarta Timur,Pagi,Cerah Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Barat,Pagi,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Selatan,Pagi,Cerah Berawan, 70 – 90,25 – 33
2018-11-03,Kepulauan Seribu,Pagi,Hujan Lokal, 70 – 90,25 – 33
2018-11-03,Jakarta Pusat,Pagi,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Utara,Pagi,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Timur,Siang,Hujan Petir, 70 – 90,25 – 33
2018-11-03,Jakarta Barat,Siang,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Selatan,Siang,Hujan Lokal, 70 – 90,25 – 33
2018-11-03,Kepulauan Seribu,Siang,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Pusat,Siang,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Utara,Siang,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Timur,Malam,Hujan Lokal, 70 – 90,25 – 33
2018-11-03,Jakarta Barat,Malam,Hujan Lokal, 70 – 90,25 – 33
2018-11-03,Jakarta Selatan,Malam,Hujan Lokal, 70 – 90,25 – 33
2018-11-03,Kepulauan Seribu,Malam,Cerah Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Pusat,Malam,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Utara,Malam,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Timur,Dini Hari,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Barat,Dini Hari,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Selatan,Dini Hari,Berawan, 70 – 90,25 – 33
2018-11-03,Kepulauan Seribu,Dini Hari,Hujan Lokal, 70 – 90,25 – 33
2018-11-03,Jakarta Pusat,Dini Hari,Berawan, 70 – 90,25 – 33
2018-11-03,Jakarta Utara,Dini Hari,Berawan, 70 – 90,25 – 33
2018-11-04,Jakarta Timur,Pagi,Cerah Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Barat,Pagi,Cerah Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Selatan,Pagi,Cerah Berawan, 55 – 90,25 – 33
2018-11-04,Kepulauan Seribu,Pagi,Cerah Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Pusat,Pagi,Cerah Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Utara,Pagi,Cerah Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Timur,Siang,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Barat,Siang,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Selatan,Siang,Hujan Lokal, 55 – 90,25 – 33
2018-11-04,Kepulauan Seribu,Siang,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Pusat,Siang,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Utara,Siang,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Timur,Malam,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Barat,Malam,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Selatan,Malam,Berawan, 55 – 90,25 – 33
2018-11-04,Kepulauan Seribu,Malam,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Pusat,Malam,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Utara,Malam,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Timur,Dini Hari,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Barat,Dini Hari,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Selatan,Dini Hari,Berawan, 55 – 90,25 – 33
2018-11-04,Kepulauan Seribu,Dini Hari,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Pusat,Dini Hari,Berawan, 55 – 90,25 – 33
2018-11-04,Jakarta Utara,Dini Hari,Berawan, 55 – 90,25 – 33
2018-11-05,Jakarta Timur,Pagi,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Barat,Pagi,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Selatan,Pagi,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Kepulauan Seribu,Pagi,Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Pusat,Pagi,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Utara,Pagi,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Timur,Siang,Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Barat,Siang,Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Selatan,Siang,Berawan, 50 – 90,25 – 33
2018-11-05,Kepulauan Seribu,Siang,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Pusat,Siang,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Utara,Siang,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Timur,Malam,Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Barat,Malam,Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Selatan,Malam,Berawan, 50 – 90,25 – 33
2018-11-05,Kepulauan Seribu,Malam,Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Pusat,Malam,Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Utara,Malam,Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Timur,Dini Hari,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Barat,Dini Hari,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Selatan,Dini Hari,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Kepulauan Seribu,Dini Hari,Cerah Berawan, 50 – 90,25 – 33
2018-11-05,Jakarta Pusat,Dini Hari,Cerah Berawan, 50 – 90,25 – 33
